level,code,english,arabic,promise,ability,situations,sentence_style,difficulty,culture,media,not_include,review
1,L1,Survival Travel,النجاة السياحية الأولى,بعد هذا المستوى يستطيع المتعلم أن يقول الجمل الضرورية في أول زيارة للمغرب دون خوف.,يتعامل مع الطاكسي، الفندق، المقهى، السوق، الاتجاهات، الشكر، الاعتذار، وطلب المساعدة البسيطة.,طاكسي، فندق/رياض، مقهى، مطعم بسيط، سوق، اتجاهات، سؤال عن مكان، أرقام وأسعار، لا أفهم/أعد من فضلك.,جمل قصيرة جدًا ومباشرة؛ غالبًا طلب أو سؤال واحد.,A0 → A1 survival; 2–5 كلمات في الغالب.,الأدب مع الغرباء، استعمال afak، متى نقول salam/shukran/safi، الفرق بين الطاكسي والسوق والمقهى.,صور واضحة لمواقف سياحية؛ فيديوهات قصيرة جدًا؛ صوت normal/slow؛ نطق مجزأ لكل جملة.,لا قصص طويلة، لا قواعد صريحة، لا أمثلة وطنية ضيقة مثل بلد واحد فقط.,عجلة أسبوعية للمواقف 1–35 ثم مراجعات أسبوع 2–4 ويوم 30 نهائي.
2,L2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,بعد هذا المستوى يستطيع المتعلم دخول رياض أو بيت أو مكان ضيافة والتصرف بأدب مغربي.,يطلب الماء، الشاي، Wi‑Fi، الفطور، الراحة، الاستئذان، ويشكر المضيف بطريقة مناسبة.,استقبال في الرياض، الدخول للغرفة، طلب منشفة/ماء/Wi‑Fi، الفطور، الشاي، الاستئذان، مجاملة المضيف.,جمل طلب مهذبة وجمل رد اجتماعية قصيرة.,A1; 3–7 كلمات، دخول أول للضمائر البسيطة: ana/nta/nti/huwa/hiya بشكل وظيفي.,الضيافة، الأتاي، عدم رفض الطعام بقسوة، قول الله يعطيك الصحة/بارك الله فيك حسب السياق.,مشاهد داخل رياض/بيت مغربي، طاولة شاي، مضيف وضيف؛ الفيديو يدرّب على ردود قصيرة.,لا تفاصيل عائلية عميقة؛ لا نقاش ثقافي طويل؛ لا مشاهد حساسة داخل البيت.,مراجعة توازن بين عبارات الضيافة وطلبات الإقامة.
3,L3,Café & Daily Social Life,المقهى والحياة اليومية,بعد هذا المستوى يستطيع المتعلم فتح كلام يومي خفيف في مقهى أو شارع.,يطلب مشروبات، يسأل عن الحساب، ينتظر، يرد على كيف الحال، يتكلم عن اليوم والطقس والمزاج بكلمات بسيطة.,مقهى، طلب قهوة/أتاي/ماء، انتظار صديق، حساب، دردشة قصيرة، الطقس، اليوم/غدًا/الآن.,جمل قصيرة + سؤال/جواب خفيف؛ بداية الحوارات الثنائية.,A1; 4–8 كلمات؛ إدخال واش/فين/شحال/وقتاش بشكل طبيعي.,المقهى كمكان اجتماعي، الجلوس والانتظار، الفرق بين الطلب السريع والدردشة.,مشاهد مقهى مغربي واقعي؛ فيديوهات فيها تبادل جملتين أو ثلاث.,لا أحاديث فلسفية أو سياسية؛ لا مفردات مقهى طويلة غير نافعة.,مراجعة حوارات قصيرة: طلب → رد → حساب.
4,L4,Souk & Shopping Better,السوق والشراء بذكاء,بعد هذا المستوى يستطيع المتعلم الشراء والتفاوض بأدب وفهم الثمن والجودة.,يسأل عن السعر، اللون، المقاس، الجودة، آخر ثمن، يفاوض، يرفض أو يقبل، ويطلب هدية/قطعة أخرى.,سوق تقليدي، ملابس، زربية، هدية، تذكار، خضر وفواكه، متجر صغير، مقارنة الأسعار.,طلبات وأسئلة تفاوض؛ جمل أدب + رفض ناعم.,A1+; 5–10 كلمات؛ أرقام أكثر، صفات، المقارنة البسيطة.,التفاوض في السوق، الأدب، متى يكون الثمن قابلًا للنقصان، الفرق بين متجر ثابت وسوق تقليدي.,صور سوق/متجر مع سلعة واضحة؛ فيديو يبيّن تفاوضًا قصيرًا بلا مبالغة.,لا تعليم خداع أو ضغط على البائع؛ لا جعل التفاوض عدوانيًا.,عجلة مواقف شراء: سعر/لون/مقاس/رفض/قبول.
5,L5,Moving Around Morocco,التنقل داخل المغرب وبين المدن,بعد هذا المستوى يستطيع المتعلم التنقل داخل المدينة وبين المدن باستقلالية أكبر.,يسأل عن محطة، تذكرة، قطار، حافلة، ترام، وقت الانطلاق، التأخير، الرصيف/الباب، والوجهة.,محطة قطار، محطة حافلة، ترام، طاكسي كبير، تذكرة، تأخير، رقم المنصة، الوصول، سؤال عن الاتجاه.,أسئلة عملية أطول نسبيًا مع أرقام ووقت ووجهات.,A1+ → A2; 6–11 كلمات؛ وقت/تاريخ/مدة/وجهة.,الفرق بين الطاكسي الصغير/الكبير، المحطات، التعامل مع التأخير، السؤال بأدب وسط الزحام.,مشاهد محطات ووسائل نقل؛ فيديوهات فيها لوحة/تذكرة/سؤال موظف أو مسافر.,لا تفاصيل إدارية معقدة أو سفر دولي؛ لا مصطلحات تقنية كثيرة.,مراجعة مسارات: من أين؟ إلى أين؟ متى؟ بكم؟
6,L6,Friends & Family,الأصدقاء والعائلة,بعد هذا المستوى يستطيع المتعلم التواصل اجتماعيًا داخل علاقة مغربية بسيطة.,يتكلم عن العائلة، يقبل/يرفض دعوة بأدب، يشكر على الضيافة، يشارك تعارفًا أعمق ومزاحًا خفيفًا.,زيارة عائلة، دعوة للأكل، التعارف الأعمق، سؤال عن الأسرة، تهنئة، شكر الضيافة، وداع.,حوارات قصيرة اجتماعية؛ عبارات مجاملة ومشاعر بسيطة.,A2; 6–12 كلمة؛ بداية الماضي/المستقبل الوظيفي بدون شرح قواعد ثقيل.,الأسرة، الضيافة، الحشمة في الكلام، المجاملة، متى نمزح ومتى لا.,مشاهد زيارة بيت/لقاء أصدقاء بدون خصوصية مفرطة؛ فيديوهات حوارية صغيرة.,لا أسئلة شخصية حساسة مبكرة؛ لا أحكام ثقافية عامة.,مراجعة اجتماعية: دعوة → قبول/رفض → شكر → وداع.
7,L7,Longer Stay / Daily Services,الإقامة الأطول والخدمات اليومية,بعد هذا المستوى يستطيع المتعلم العيش مدة أطول والتعامل مع خدمات يومية أساسية.,يتعامل مع كراء، جار، إنترنت، شريحة هاتف، إصلاح بسيط، تنظيف، مواعيد وخدمات.,كراء شقة، صاحب الدار، الجيران، ماء/كهرباء، Wi‑Fi، شريحة هاتف، تصليح، خدمة توصيل.,جمل طلب وتفسير مشكلة؛ تواصل عملي مع أصحاب الخدمات.,A2; 8–14 كلمة؛ وصف مشكلة وطلب حل.,العلاقة مع الجار/صاحب الدار، المواعيد المرنة، الأدب في الشكوى، الاتفاق الواضح.,مشاهد شقة/محل اتصالات/إصلاح؛ فيديو فيه مشكلة وحل.,لا عقود قانونية معقدة؛ لا نصائح مالية أو قانونية مفصلة.,مراجعة مشكلات يومية: عندي مشكل → شرح → طلب حل → موعد.
8,L8,"Health, Safety & Problems",الصحة والسلامة والمشاكل,بعد هذا المستوى يستطيع المتعلم طلب مساعدة واضحة في موقف صعب.,يشرح ألمًا بسيطًا، يطلب صيدلية/طبيبًا/شرطة، يقول ضاع الهاتف/الجواز، ويطلب مساعدة عاجلة.,صيدلية، طبيب، ألم، ضياع طريق، ضياع هاتف/جواز، شرطة، مساعدة عاجلة، عدم الأمان.,جمل واضحة قصيرة تحت الضغط؛ أولويات السلامة قبل الدقة اللغوية.,A2; 5–12 كلمة؛ مفردات جسم/ألم/مشكلة/مساعدة.,كيف تطلب المساعدة بأدب ووضوح، متى تتكلم مع شرطي/موظف/صيدلي، تجنب المزاح في الطوارئ.,مشاهد محترمة غير مخيفة؛ فيديوهات تعليمية آمنة لا تبالغ في الخطر.,لا نصائح طبية حاسمة؛ لا مشاهد عنف؛ لا تفاصيل قانونية حساسة.,مراجعة طوارئ خفيفة: أين؟ ماذا حدث؟ ماذا تحتاج؟
9,L9,Work & Practical Business,العمل والخدمات العملية,بعد هذا المستوى يستطيع المتعلم التعامل مع خدمات ومواعيد واتفاقات عملية.,يؤكد موعدًا، يؤجل، يسأل عن ثمن خدمة، فاتورة، جودة، تسليم، ويقدم شكوى مهذبة.,حرفي، سائق خاص، وكالة، مكتب، خدمة، موعد، تسليم، فاتورة، مشكلة جودة، تأكيد اتفاق.,جمل عملية أطول؛ تأكيد وتوضيح ومتابعة.,A2+; 8–16 كلمة؛ ربط جملتين أحيانًا.,الوضوح في الاتفاق، الاحترام في الشكوى، الفرق بين الكلام الودي والكلام المهني.,مشاهد مكتب/خدمة/حرفي؛ فيديو فيه اتفاق قصير ومتابعة.,لا عقود تجارية قانونية؛ لا مصطلحات شركات عميقة.,مراجعة عمل: موعد → ثمن → تأكيد → مشكلة → حل.
10,L10,Moroccan Culture Deep Dive,الثقافة المغربية العميقة,بعد هذا المستوى يفهم المتعلم سياقات ثقافية مغربية أعمق ويتكلم فيها بأدب.,يتعامل مع رمضان، العيد، الجمعة، الحمام، العرس، الضيافة، العيب/الحشومة، البركة، النية.,رمضان، إفطار، عيد، جمعة، عرس، حمام، زيارة، هدية، تهنئة، تعزية خفيفة بحذر، مناسبات اجتماعية.,عبارات ثقافية وسياقية؛ جمل احترام ومجاملة.,B1 مبسط; 8–18 كلمة؛ تركيز على السياق لا القواعد.,الثقافة هي مركز المستوى: ماذا يقال، متى، لمن، وما الذي نتجنبه.,صور ثقافية محترمة؛ فيديوهات مواقف اجتماعية بدون صور حساسة أو أحكام سطحية.,لا تعميمات عن كل المغاربة؛ لا مواضيع دينية/اجتماعية حساسة بطريقة سطحية.,مراجعة سياقية: اختر الجملة المناسبة للمناسبة.
11,L11,Native Listening / WhatsApp / Media,فهم الكلام الحقيقي والواتساب والميديا,بعد هذا المستوى يبدأ المتعلم فهم الدارجة السريعة والكتابة الواقعية خارج التطبيق.,يفهم رسائل واتساب قصيرة، أرقام 3/7/9، اختصارات، نكت بسيطة، تعليقات، ومقاطع صوتية سريعة.,رسالة صوتية، تعليق قصير، دردشة واتساب، فيديو قصير، مزاح، اختصار، كلام ناقص، لهجات مدن خفيفة.,جمل واقعية وقد تكون ناقصة؛ عرض الشكل canonical ثم الشكل الواقعي.,B1; منظم لكنه قريب من الواقع؛ إدخال السرعة والتنوع.,فهم الأسلوب غير الرسمي، متى تصلح الكتابة بالأرقام، الفرق بين الرسمي والواتساب.,أصوات أسرع، مقاطع قصيرة، فقاعات دردشة، فيديوهات react/listen/respond.,لا إدخال عامية جارحة أو كلام غير مناسب للمبتدئ؛ لا فوضى كتابية بلا canonical.,مراجعة استماع: اسمع → اختر المعنى → كرر → قارن بالشكل البطيء.
12,L12,Full Morocco Simulation,محاكاة المغرب الكاملة,بعد هذا المستوى يعيش المتعلم سلسلة مواقف مغربية متصلة ويستعمل ما تعلمه في سيناريو كامل.,يتنقل بين مواقف متعددة: رياض، طاكسي، سوق، مقهى، مشكلة، زيارة، وداع، ويختار الجملة المناسبة.,يوم كامل أو أسبوع افتراضي: الوصول، السكن، التنقل، الشراء، الأكل، مشكلة، مساعدة، زيارة، مراجعة نهائية.,حوارات متصلة؛ اختيار من متعدد للجملة المناسبة؛ سيناريوهات أطول.,B1 simulation; لا يضيف مفردات كثيرة بقدر ما يدمج كل ما سبق.,تطبيق الثقافة داخل القرار: ما الجملة المناسبة الآن؟ كيف تكون مؤدبًا؟ كيف تتصرف؟,فيديوهات تفاعلية متفرعة من الصور/المشاهد؛ learner voice داخل السيناريو.,لا يكون قاموسًا جديدًا؛ لا إضافة موضوعات مشتتة؛ هدفه الدمج والاختبار.,اختبار نهائي + شهادة + replay للمواقف الضعيفة.
