level,day,dayTitle,phraseNo,phraseId,friendlyLatin,arabic,english,scenario,goal,possibleMoroccanReply,cultureNote,pronunciationParts,audioNormal,audioSlow,sceneVisual,sceneVideo,status
5,1,اختيار وسيلة النقل المناسبة,1,L05-D01-P01,shno l-wsila l-ahsan lhad lblasa?,شنو الوسيلة الأحسن لهاد البلاصة؟,What is the best transport for this place?,You ask a host or local before leaving.,What is the best transport for this place?,"taksi wla tram, 3la hsab fin ghadi","The best option depends on distance, luggage, and time.",shno / l-wsila / l-ahsan / lhad lblasa,assets/audio/level05/day01/l05-d01-p01-normal.mp3,assets/audio/level05/day01/l05-d01-p01-slow.mp3,assets/images/lesson-scenes/level05/day01/l05-d01-p01-scene.webp,assets/video/level05/day01/l05-d01-p01-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,1,اختيار وسيلة النقل المناسبة,2,L05-D01-P02,wach nmsi b-tram wla b-taksi?,واش نمشي بطرام ولا بطاكسي؟,Should I go by tram or by taxi?,You compare two options.,Should I go by tram or by taxi?,"ila qriba, tram mzyan",A direct comparison question is practical and natural.,wach / nmsi b-tram / wla b-taksi,assets/audio/level05/day01/l05-d01-p02-normal.mp3,assets/audio/level05/day01/l05-d01-p02-slow.mp3,assets/images/lesson-scenes/level05/day01/l05-d01-p02-scene.webp,assets/video/level05/day01/l05-d01-p02-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,1,اختيار وسيلة النقل المناسبة,3,L05-D01-P03,shhal ghadi yakhod l-waqt?,شحال غادي ياخد الوقت؟,How long will it take?,You need to know travel time.,How long will it take?,shi nos sa3a,"Time estimates may be approximate, so stay flexible.",shhal / ghadi yakhod / l-waqt,assets/audio/level05/day01/l05-d01-p03-normal.mp3,assets/audio/level05/day01/l05-d01-p03-slow.mp3,assets/images/lesson-scenes/level05/day01/l05-d01-p03-scene.webp,assets/video/level05/day01/l05-d01-p03-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,1,اختيار وسيلة النقل المناسبة,4,L05-D01-P04,wach kayn tariq sahla?,واش كاين طريق سهلة؟,Is there an easy route?,You have bags and want an easier way.,Is there an easy route?,"ah, sir nishan mn hna",Say sahla when comfort matters more than speed.,wach kayn / tariq / sahla,assets/audio/level05/day01/l05-d01-p04-normal.mp3,assets/audio/level05/day01/l05-d01-p04-slow.mp3,assets/images/lesson-scenes/level05/day01/l05-d01-p04-scene.webp,assets/video/level05/day01/l05-d01-p04-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,1,اختيار وسيلة النقل المناسبة,5,L05-D01-P05,"safi, ghadi nmsi b-hadi",صافي، غادي نمشي بهادي,"Okay, I will take this one.",You decide which option to take.,"Okay, I will take this one.","wakha, treq salama",Safi naturally closes a decision.,safi / ghadi nmsi / b-hadi,assets/audio/level05/day01/l05-d01-p05-normal.mp3,assets/audio/level05/day01/l05-d01-p05-slow.mp3,assets/images/lesson-scenes/level05/day01/l05-d01-p05-scene.webp,assets/video/level05/day01/l05-d01-p05-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,2,تاكسي صغير داخل المدينة,1,L05-D02-P01,taksi sghir l-mdina afak,طاكسي صغير للمدينة عافاك,"A small taxi to the city, please.",You are near the street and need a petit taxi.,"A small taxi to the city, please.",fin bghiti tmshi?,Petit taxis usually work inside city limits.,taksi sghir / l-mdina / afak,assets/audio/level05/day02/l05-d02-p01-normal.mp3,assets/audio/level05/day02/l05-d02-p01-slow.mp3,assets/images/lesson-scenes/level05/day02/l05-d02-p01-scene.webp,assets/video/level05/day02/l05-d02-p01-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,2,تاكسي صغير داخل المدينة,2,L05-D02-P02,bghit nmsi l-blasa hadi,بغيت نمشي للبلاصة هادي,I want to go to this place.,You show a destination on your phone.,I want to go to this place.,"ah, rak qrib",Showing the map helps if pronunciation is hard.,bghit nmsi / l-blasa / hadi,assets/audio/level05/day02/l05-d02-p02-normal.mp3,assets/audio/level05/day02/l05-d02-p02-slow.mp3,assets/images/lesson-scenes/level05/day02/l05-d02-p02-scene.webp,assets/video/level05/day02/l05-d02-p02-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,2,تاكسي صغير داخل المدينة,3,L05-D02-P03,wach l-compteur khdam?,واش الكونتور خدام؟,Is the meter working?,You want to avoid confusion about the fare.,Is the meter working?,ah khdam,"In city taxis, asking about the meter can be normal.",wach / l-compteur / khdam,assets/audio/level05/day02/l05-d02-p03-normal.mp3,assets/audio/level05/day02/l05-d02-p03-slow.mp3,assets/images/lesson-scenes/level05/day02/l05-d02-p03-scene.webp,assets/video/level05/day02/l05-d02-p03-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,2,تاكسي صغير داخل المدينة,4,L05-D02-P04,qrebna?,قربنا؟,Are we close?,You are in the taxi and want to know if you are near.,Are we close?,"ah, qrebna",A very short question is enough in a taxi.,qrebna,assets/audio/level05/day02/l05-d02-p04-normal.mp3,assets/audio/level05/day02/l05-d02-p04-slow.mp3,assets/images/lesson-scenes/level05/day02/l05-d02-p04-scene.webp,assets/video/level05/day02/l05-d02-p04-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,2,تاكسي صغير داخل المدينة,5,L05-D02-P05,"hna mezian, shukran",هنا مزيان، شكرا,"Here is good, thank you.",You reached a convenient stopping point.,"Here is good, thank you.",bssaha,Short polite endings work well with drivers.,hna mezian / shukran,assets/audio/level05/day02/l05-d02-p05-normal.mp3,assets/audio/level05/day02/l05-d02-p05-slow.mp3,assets/images/lesson-scenes/level05/day02/l05-d02-p05-scene.webp,assets/video/level05/day02/l05-d02-p05-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,3,طاكسي كبير بين المدن القريبة,1,L05-D03-P01,fin kayn taksi kbir?,فين كاين طاكسي كبير؟,Where is the grand taxi?,You look for shared taxis near a station.,Where is the grand taxi?,temma 7da l-gar,Grand taxis often have dedicated stands.,fin kayn / taksi kbir,assets/audio/level05/day03/l05-d03-p01-normal.mp3,assets/audio/level05/day03/l05-d03-p01-slow.mp3,assets/images/lesson-scenes/level05/day03/l05-d03-p01-scene.webp,assets/video/level05/day03/l05-d03-p01-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,3,طاكسي كبير بين المدن القريبة,2,L05-D03-P02,wach ghadi l-mdina hadik?,واش غادي للمدينة هاديك؟,Are you going to that city?,You ask if the taxi goes to your destination.,Are you going to that city?,"ah, tal3",Always confirm the city before entering.,wach ghadi / l-mdina / hadik,assets/audio/level05/day03/l05-d03-p02-normal.mp3,assets/audio/level05/day03/l05-d03-p02-slow.mp3,assets/images/lesson-scenes/level05/day03/l05-d03-p02-scene.webp,assets/video/level05/day03/l05-d03-p02-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,3,طاكسي كبير بين المدن القريبة,3,L05-D03-P03,bshhal l-blasa?,بشحال البلاصة؟,How much is one seat?,You need the shared taxi seat price.,How much is one seat?,khmsin dirham,Shared taxis may charge per seat.,bshhal / l-blasa,assets/audio/level05/day03/l05-d03-p03-normal.mp3,assets/audio/level05/day03/l05-d03-p03-slow.mp3,assets/images/lesson-scenes/level05/day03/l05-d03-p03-scene.webp,assets/video/level05/day03/l05-d03-p03-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,3,طاكسي كبير بين المدن القريبة,4,L05-D03-P04,wach khasni ntsenna 3la l-kamal?,واش خاصني نتسنى على الكمال؟,Do I need to wait until it is full?,You want to know when the taxi leaves.,Do I need to wait until it is full?,"ah, khasna nkmlo",Shared taxis may wait for passengers before departure.,wach khasni / ntsena / 3la l-kamal,assets/audio/level05/day03/l05-d03-p04-normal.mp3,assets/audio/level05/day03/l05-d03-p04-slow.mp3,assets/images/lesson-scenes/level05/day03/l05-d03-p04-scene.webp,assets/video/level05/day03/l05-d03-p04-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,3,طاكسي كبير بين المدن القريبة,5,L05-D03-P05,"mzyan, hadi blasti",مزيان، هادي بلاصتي,"Good, this is my seat.",You accept the seat.,"Good, this is my seat.",marhba,Seat clarity avoids confusion.,mzyan / hadi / blasti,assets/audio/level05/day03/l05-d03-p05-normal.mp3,assets/audio/level05/day03/l05-d03-p05-slow.mp3,assets/images/lesson-scenes/level05/day03/l05-d03-p05-scene.webp,assets/video/level05/day03/l05-d03-p05-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,4,محطة القطار,1,L05-D04-P01,fin kayna l-gar?,فين كاينة لاگار؟,Where is the train station?,You are in the city and need the station.,Where is the train station?,qdam shwiya 3la limen,L-gar is widely understood for train station.,fin kayna / l-gar,assets/audio/level05/day04/l05-d04-p01-normal.mp3,assets/audio/level05/day04/l05-d04-p01-slow.mp3,assets/images/lesson-scenes/level05/day04/l05-d04-p01-scene.webp,assets/video/level05/day04/l05-d04-p01-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,4,محطة القطار,2,L05-D04-P02,fin kayn l-bureau dyal tickets?,فين كاين البيرو ديال التذاكر؟,Where is the ticket office?,You enter the station and need a ticket.,Where is the ticket office?,temma 3la lisar,French loan words are common in transport contexts.,fin kayn / l-bureau / dyal tickets,assets/audio/level05/day04/l05-d04-p02-normal.mp3,assets/audio/level05/day04/l05-d04-p02-slow.mp3,assets/images/lesson-scenes/level05/day04/l05-d04-p02-scene.webp,assets/video/level05/day04/l05-d04-p02-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,4,محطة القطار,3,L05-D04-P03,bghit nshoof les horaires,بغيت نشوف ليزورير,I want to see the schedules.,You want train times.,I want to see the schedules.,rah f-shasha,Stations often show schedules on screens.,bghit nshoof / les horaires,assets/audio/level05/day04/l05-d04-p03-normal.mp3,assets/audio/level05/day04/l05-d04-p03-slow.mp3,assets/images/lesson-scenes/level05/day04/l05-d04-p03-scene.webp,assets/video/level05/day04/l05-d04-p03-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,4,محطة القطار,4,L05-D04-P04,fin kayn l-quai?,فين كاين الكي؟,Where is the platform?,You have a ticket and need the platform.,Where is the platform?,quai jouj,Platform words may be in French.,fin kayn / l-quai,assets/audio/level05/day04/l05-d04-p04-normal.mp3,assets/audio/level05/day04/l05-d04-p04-slow.mp3,assets/images/lesson-scenes/level05/day04/l05-d04-p04-scene.webp,assets/video/level05/day04/l05-d04-p04-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,4,محطة القطار,5,L05-D04-P05,"shukran, ghadi ntbe3 l-3alamat",شكرا، غادي نتبع العلامات,"Thanks, I will follow the signs.",Someone points the way.,"Thanks, I will follow the signs.",treq salama,"Signs help, but asking once can save time.",shukran / ghadi ntbe3 / l-3alamat,assets/audio/level05/day04/l05-d04-p05-normal.mp3,assets/audio/level05/day04/l05-d04-p05-slow.mp3,assets/images/lesson-scenes/level05/day04/l05-d04-p05-scene.webp,assets/video/level05/day04/l05-d04-p05-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,5,شراء تذكرة القطار,1,L05-D05-P01,bghit ticket l-rbat afak,بغيت تيكي للرباط عافاك,"I want a ticket to Rabat, please.",You are at the ticket counter.,"I want a ticket to Rabat, please.",mta bghiti tmshi?,Use city names clearly at stations.,bghit ticket / l-rbat / afak,assets/audio/level05/day05/l05-d05-p01-normal.mp3,assets/audio/level05/day05/l05-d05-p01-slow.mp3,assets/images/lesson-scenes/level05/day05/l05-d05-p01-scene.webp,assets/video/level05/day05/l05-d05-p01-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,5,شراء تذكرة القطار,2,L05-D05-P02,l-yom wla ghdda?,اليوم ولا غدا؟,Today or tomorrow?,The agent asks about the date.,Today or tomorrow?,l-yom,Be ready to specify day and time.,l-yom / wla ghdda,assets/audio/level05/day05/l05-d05-p02-normal.mp3,assets/audio/level05/day05/l05-d05-p02-slow.mp3,assets/images/lesson-scenes/level05/day05/l05-d05-p02-scene.webp,assets/video/level05/day05/l05-d05-p02-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,5,شراء تذكرة القطار,3,L05-D05-P03,bghit ticket l-yom m3a l-3shiya,بغيت تيكي اليوم مع العشية,I want a ticket today in the evening.,You want an evening train.,I want a ticket today in the evening.,kayn wahed f sitta,Moroccan time expressions like l-3shiya are useful.,bghit ticket / l-yom / m3a l-3shiya,assets/audio/level05/day05/l05-d05-p03-normal.mp3,assets/audio/level05/day05/l05-d05-p03-slow.mp3,assets/images/lesson-scenes/level05/day05/l05-d05-p03-scene.webp,assets/video/level05/day05/l05-d05-p03-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,5,شراء تذكرة القطار,4,L05-D05-P04,wach kayna blasa?,واش كاينة بلاصة؟,Is there a seat available?,You check availability.,Is there a seat available?,ah kayna,Availability matters on busy routes.,wach kayna / blasa,assets/audio/level05/day05/l05-d05-p04-normal.mp3,assets/audio/level05/day05/l05-d05-p04-slow.mp3,assets/images/lesson-scenes/level05/day05/l05-d05-p04-scene.webp,assets/video/level05/day05/l05-d05-p04-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,5,شراء تذكرة القطار,5,L05-D05-P05,"khdit ticket, shukran",خديت التيكي، شكرا,"I got the ticket, thank you.",The ticket is printed or confirmed.,"I got the ticket, thank you.",bssaha,Check city and time before leaving the counter.,khdit ticket / shukran,assets/audio/level05/day05/l05-d05-p05-normal.mp3,assets/audio/level05/day05/l05-d05-p05-slow.mp3,assets/images/lesson-scenes/level05/day05/l05-d05-p05-scene.webp,assets/video/level05/day05/l05-d05-p05-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,6,المنصة ووقت الانطلاق,1,L05-D06-P01,f ash mn quai l-tren?,فاش من كي التران؟,Which platform is the train on?,You are reading the ticket.,Which platform is the train on?,quai tlata,Ask staff if screens are confusing.,f ash mn / quai / l-tren,assets/audio/level05/day06/l05-d06-p01-normal.mp3,assets/audio/level05/day06/l05-d06-p01-slow.mp3,assets/images/lesson-scenes/level05/day06/l05-d06-p01-scene.webp,assets/video/level05/day06/l05-d06-p01-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,6,المنصة ووقت الانطلاق,2,L05-D06-P02,wach hada tren dyal casa?,واش هادا تران ديال كازا؟,Is this the train to Casablanca?,A train arrives and you want to confirm.,Is this the train to Casablanca?,"ah, hada howa",Confirm before boarding.,wach hada / tren dyal / casa,assets/audio/level05/day06/l05-d06-p02-normal.mp3,assets/audio/level05/day06/l05-d06-p02-slow.mp3,assets/images/lesson-scenes/level05/day06/l05-d06-p02-scene.webp,assets/video/level05/day06/l05-d06-p02-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,6,المنصة ووقت الانطلاق,3,L05-D06-P03,shhal bqa l-depart?,شحال بقا للدّيپار؟,How long until departure?,You are waiting on the platform.,How long until departure?,bqa 10 d-qayeq,Departure terms may be in French.,shhal bqa / l-depart,assets/audio/level05/day06/l05-d06-p03-normal.mp3,assets/audio/level05/day06/l05-d06-p03-slow.mp3,assets/images/lesson-scenes/level05/day06/l05-d06-p03-scene.webp,assets/video/level05/day06/l05-d06-p03-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,6,المنصة ووقت الانطلاق,4,L05-D06-P04,fin blasti f-tren?,فين بلاصتي فالتران؟,Where is my seat on the train?,You board and look for your seat.,Where is my seat on the train?,rak f wagon rb3a,Wagon and seat numbers matter.,fin blasti / f-tren,assets/audio/level05/day06/l05-d06-p04-normal.mp3,assets/audio/level05/day06/l05-d06-p04-slow.mp3,assets/images/lesson-scenes/level05/day06/l05-d06-p04-scene.webp,assets/video/level05/day06/l05-d06-p04-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,6,المنصة ووقت الانطلاق,5,L05-D06-P05,"hadi blasti, sa7?",هادي بلاصتي، صح؟,"This is my seat, right?",You verify your seat politely.,"This is my seat, right?","ah, sa7",A polite confirmation avoids conflict.,hadi blasti / sa7,assets/audio/level05/day06/l05-d06-p05-normal.mp3,assets/audio/level05/day06/l05-d06-p05-slow.mp3,assets/images/lesson-scenes/level05/day06/l05-d06-p05-scene.webp,assets/video/level05/day06/l05-d06-p05-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,7,تأخر القطار أو تغيير الرحلة,1,L05-D07-P01,wach l-tren t2akher?,واش التران تأخر؟,Is the train delayed?,The train is not arriving.,Is the train delayed?,"ah, t2akher shwiya",Delays can happen; stay calm and ask staff.,wach / l-tren / t2akher,assets/audio/level05/day07/l05-d07-p01-normal.mp3,assets/audio/level05/day07/l05-d07-p01-slow.mp3,assets/images/lesson-scenes/level05/day07/l05-d07-p01-scene.webp,assets/video/level05/day07/l05-d07-p01-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,7,تأخر القطار أو تغيير الرحلة,2,L05-D07-P02,shhal ghadi ybqa?,شحال غادي يبقى؟,How long will it be?,You need a time estimate.,How long will it be?,shi 20 dqiqa,Estimates may change.,shhal / ghadi ybqa,assets/audio/level05/day07/l05-d07-p02-normal.mp3,assets/audio/level05/day07/l05-d07-p02-slow.mp3,assets/images/lesson-scenes/level05/day07/l05-d07-p02-scene.webp,assets/video/level05/day07/l05-d07-p02-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,7,تأخر القطار أو تغيير الرحلة,3,L05-D07-P03,wach tbeddel l-quai?,واش تبدل الكي؟,Did the platform change?,People are moving suddenly.,Did the platform change?,"ah, sir l-quai khmsa",Platform changes require quick calm action.,wach tbeddel / l-quai,assets/audio/level05/day07/l05-d07-p03-normal.mp3,assets/audio/level05/day07/l05-d07-p03-slow.mp3,assets/images/lesson-scenes/level05/day07/l05-d07-p03-scene.webp,assets/video/level05/day07/l05-d07-p03-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,7,تأخر القطار أو تغيير الرحلة,4,L05-D07-P04,khasni nbeddel ticket?,خاصني نبدل التيكي؟,Do I need to change my ticket?,The schedule changed.,Do I need to change my ticket?,"la, bqa nfs ticket",Clarify ticket rules at the counter.,khasni / nbeddel ticket,assets/audio/level05/day07/l05-d07-p04-normal.mp3,assets/audio/level05/day07/l05-d07-p04-slow.mp3,assets/images/lesson-scenes/level05/day07/l05-d07-p04-scene.webp,assets/video/level05/day07/l05-d07-p04-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,7,تأخر القطار أو تغيير الرحلة,5,L05-D07-P05,"safi, ghadi ntsenna hna",صافي، غادي نتسنى هنا,"Okay, I will wait here.",You decide to wait after clarification.,"Okay, I will wait here.",wakha,Clear decisions reduce travel stress.,safi / ghadi ntsenna / hna,assets/audio/level05/day07/l05-d07-p05-normal.mp3,assets/audio/level05/day07/l05-d07-p05-slow.mp3,assets/images/lesson-scenes/level05/day07/l05-d07-p05-scene.webp,assets/video/level05/day07/l05-d07-p05-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,8,محطة الكار / CTM,1,L05-D08-P01,fin kayna mahatta dyal l-kar?,فين كاينة محطة ديال الكار؟,Where is the bus station?,You need the intercity bus station.,Where is the bus station?,qrb l-gar,Bus and train stations may be separate.,fin kayna / mahatta / dyal l-kar,assets/audio/level05/day08/l05-d08-p01-normal.mp3,assets/audio/level05/day08/l05-d08-p01-slow.mp3,assets/images/lesson-scenes/level05/day08/l05-d08-p01-scene.webp,assets/video/level05/day08/l05-d08-p01-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
