id,hasLatin,hasArabic,hasEnglish,hasScenario,hasCultureNote,status,needsNativeQA
L10-D01-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D01-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D01-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D01-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D01-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D02-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D02-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D02-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D02-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D02-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D03-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D03-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D03-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D03-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D03-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D04-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D04-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D04-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D04-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D04-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D05-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D05-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D05-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D05-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D05-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D06-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D06-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D06-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D06-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D06-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D07-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D07-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D07-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D07-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D07-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D08-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D08-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D08-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D08-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D08-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D09-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D09-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D09-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D09-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D09-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D10-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D10-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D10-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D10-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D10-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D11-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D11-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D11-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D11-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D11-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D12-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D12-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D12-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D12-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D12-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D13-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D13-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D13-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D13-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D13-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D14-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D14-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D14-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D14-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D14-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D15-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D15-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D15-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D15-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D15-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D16-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D16-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D16-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D16-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D16-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D17-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D17-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D17-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D17-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D17-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D18-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D18-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D18-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D18-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D18-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D19-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D19-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D19-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D19-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D19-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D20-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D20-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D20-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D20-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D20-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D21-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D21-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D21-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D21-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D21-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D22-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D22-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D22-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D22-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D22-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D23-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D23-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D23-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D23-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D23-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D24-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D24-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D24-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D24-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D24-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D25-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D25-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D25-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D25-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D25-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D26-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D26-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D26-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D26-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D26-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D27-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D27-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D27-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D27-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D27-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D28-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D28-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D28-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D28-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D28-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D29-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D29-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D29-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D29-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D29-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D30-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D30-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D30-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D30-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D30-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
